Subject,Age_in_Yrs,Handedness
100004,24,95
100206,27,65
100307,27,95
100408,33,55
100610,27,85
101006,35,90
101107,22,5
101208,35,100
101309,29,45
101410,29,75
101612,30,70
101915,35,-75
102008,24,80
102109,27,-25
102311,26,10
102513,30,50
102614,23,80
102715,26,95
102816,30,100
103010,25,70
103111,30,70
103212,34,45
103414,25,75
103515,28,100
103818,32,100
104012,26,100
104113,26,100
104416,31,65
104820,36,70
105014,29,100
105115,31,75
105216,27,75
105620,34,90
105923,33,35
106016,33,50
106218,28,70
106319,28,65
106521,29,90
106824,22,65
107018,26,75
107119,36,-75
107220,26,90
107321,25,65
107422,22,80
107523,23,100
107725,35,-40
108020,22,60
108121,27,80
108222,35,80
108323,27,80
108525,23,100
108828,32,100
109123,32,85
109325,31,75
109830,33,100
110007,33,-20
110411,31,40
110613,29,95
111009,27,90
111211,28,-15
111312,31,80
111413,28,95
111514,32,60
111716,32,40
112112,27,90
112314,30,65
112516,33,100
112819,29,45
112920,31,80
113215,26,50
113316,25,70
113417,30,55
113619,34,100
113821,26,90
113922,32,90
114116,30,75
114217,29,90
114318,22,100
114419,33,80
114621,29,50
114823,33,40
114924,28,40
115017,32,90
115219,33,50
115320,34,80
115724,23,100
115825,23,100
116120,34,-10
116221,25,10
116322,35,-60
116423,28,85
116524,27,60
116726,26,55
117021,30,65
117122,30,100
117324,24,80
117728,22,10
117930,33,80
118023,26,90
118124,34,90
118225,27,60
118528,29,90
118730,23,85
118831,22,70
118932,26,80
119025,29,90
119126,25,80
119732,33,90
119833,27,40
120010,26,85
120111,28,-45
120212,33,15
120414,26,35
120515,26,90
120717,35,85
120818,25,80
121315,29,85
121416,26,60
121618,32,55
121719,33,70
121820,31,90
121921,34,75
122317,31,95
122418,29,55
122519,35,90
122620,26,100
122822,35,60
123117,29,90
123420,28,-50
123521,22,100
123723,32,75
123824,23,100
123925,26,50
124220,33,30
124321,27,75
124422,31,45
124624,26,35
124826,32,35
125222,26,25
125424,33,90
125525,34,-100
126325,28,80
126426,34,100
126628,33,100
126931,35,70
127226,25,85
127327,23,60
127630,25,60
127731,31,-60
127832,35,100
127933,32,100
128026,30,100
128127,27,-30
128329,35,60
128632,32,100
128935,34,90
129028,30,90
129129,33,90
129331,30,80
129432,23,80
129533,35,80
129634,22,65
129937,29,100
130013,26,-90
130114,27,95
130316,27,70
130417,27,65
130518,32,80
130619,30,80
130720,34,90
130821,25,80
130922,31,95
131217,29,100
131419,28,20
131621,28,80
131722,28,65
131823,27,80
131924,22,30
132017,23,70
132118,26,100
132320,29,100
133019,26,95
133221,28,80
133625,30,95
133726,33,-100
133827,25,60
133928,27,100
134021,32,100
134223,29,100
134324,30,60
134425,27,60
134627,27,95
134728,29,40
134829,35,40
135124,31,95
135225,22,100
135427,25,70
135528,26,-90
135629,24,90
135730,23,50
135932,30,70
136126,27,-55
136227,31,-70
136328,26,85
136530,34,65
136631,25,100
136732,31,85
136833,33,65
137027,32,80
137128,31,85
137229,22,80
137431,35,90
137532,32,60
137633,23,100
137936,32,90
138130,33,95
138231,33,100
138332,29,85
138534,25,-60
138837,23,100
139233,34,100
139435,28,100
139637,35,95
139839,26,60
140117,27,80
140319,36,80
140420,28,60
140723,31,-65
140824,33,70
140925,25,-90
141119,27,80
141422,33,80
141624,25,80
141826,27,100
142424,30,65
142828,31,60
143224,27,45
143325,32,5
143426,29,70
143527,27,90
143830,26,95
144125,33,100
144226,31,90
144428,25,75
144731,30,100
144832,22,75
144933,27,80
145127,23,80
145531,31,-40
145632,27,80
145834,26,25
146129,24,80
146331,26,85
146432,34,70
146533,28,90
146634,27,100
146735,34,100
146836,28,80
146937,32,65
147030,29,80
147636,24,70
147737,34,-65
148032,31,70
148133,26,75
148234,27,-5
148335,31,95
148436,29,85
148840,23,95
148941,28,90
149236,23,65
149337,33,65
149539,24,85
149741,27,80
149842,32,75
150019,27,-85
150423,30,100
150524,26,100
150625,28,85
150726,25,65
150928,25,-75
151021,32,100
151223,26,55
151324,23,60
151425,26,80
151526,28,20
151627,30,-95
151728,31,55
151829,31,80
151930,31,75
152225,35,75
152427,31,90
152831,29,90
152932,25,100
153025,22,90
153126,29,70
153227,31,100
153429,34,90
153631,23,100
153732,26,80
153833,23,70
153934,30,75
154229,23,95
154330,29,95
154431,28,80
154532,28,80
154734,34,85
154835,35,-70
154936,27,85
155231,32,75
155635,28,95
155938,27,75
156031,30,100
156233,25,100
156334,27,100
156435,24,80
156536,22,80
156637,31,70
157235,34,85
157336,34,85
157437,29,90
157942,36,90
158035,30,90
158136,33,80
158338,24,85
158540,33,90
158843,29,75
159138,32,100
159239,32,60
159340,29,-85
159441,27,90
159744,31,100
159845,33,-95
159946,29,55
160123,32,70
160729,24,35
160830,28,85
160931,31,75
161327,30,80
161630,27,100
161731,35,80
161832,26,-50
162026,31,100
162228,24,35
162329,28,-100
162733,26,65
162834,28,15
162935,25,80
163129,28,85
163331,35,20
163432,34,65
163836,34,85
164030,32,60
164131,28,60
164636,24,-80
164939,29,100
165032,24,70
165234,23,80
165436,27,50
165638,27,80
165840,35,60
165941,28,95
166438,32,80
166640,22,-40
167036,30,85
167238,33,55
167440,30,100
167743,26,100
168038,28,60
168139,25,85
168240,26,80
168341,32,-30
168745,22,85
168947,28,100
169040,23,90
169141,25,80
169343,33,100
169444,29,95
169545,22,70
169747,29,100
169949,29,-25
170631,33,100
170934,28,-55
171128,36,100
171330,27,90
171431,29,85
171532,33,90
171633,28,50
171734,28,65
172029,27,100
172130,28,90
172332,30,100
172433,23,80
172534,23,60
172635,31,75
172938,32,100
173132,31,70
173233,30,-85
173334,28,80
173435,29,70
173536,35,95
173637,23,100
173738,32,40
173839,22,60
173940,27,100
174437,32,85
174841,23,80
175035,24,90
175136,22,55
175237,31,100
175338,22,40
175439,34,100
175540,32,80
175742,35,70
175944,29,75
176037,30,90
176239,33,80
176441,29,70
176542,28,80
176744,31,50
176845,26,100
177140,32,100
177241,27,60
177342,25,90
177645,29,65
177746,30,100
178142,26,100
178243,23,70
178647,35,100
178748,33,55
178849,24,65
178950,34,100
179043,27,100
179245,32,75
179346,27,100
179548,26,100
179952,27,-70
180129,27,100
180230,27,100
180432,34,90
180533,31,60
180735,35,100
180836,33,95
180937,36,65
181131,33,80
181232,26,100
181636,33,75
182032,31,70
182436,35,70
182739,30,80
182840,31,60
183034,33,80
183337,35,100
183741,35,75
184642,34,60
185038,31,50
185139,31,-80
185341,24,80
185442,22,75
185846,26,80
185947,29,70
186040,26,65
186141,31,-55
186242,28,80
186444,25,70
186545,34,100
186848,28,-80
186949,25,20
187143,28,50
187345,31,85
187547,32,100
187850,22,55
188145,32,65
188246,27,55
188347,28,100
188448,25,75
188549,23,80
188751,28,70
189349,26,90
189450,23,80
189551,34,100
189652,30,80
190031,27,95
190132,31,80
190940,34,90
191033,28,80
191235,24,75
191336,30,90
191437,35,70
191639,25,90
191841,26,40
191942,27,95
192035,30,-30
192136,22,70
192237,35,95
192439,34,100
192540,28,60
192641,34,-35
192843,28,75
193239,30,80
193441,28,100
193845,24,55
194140,30,100
194443,27,35
194645,27,85
194746,35,100
194847,34,95
194948,31,100
195041,31,80
195445,26,-40
195647,35,100
195849,25,80
195950,30,100
196144,31,80
196346,27,90
196548,22,100
196750,26,20
196851,28,80
196952,29,100
197348,30,100
197449,23,95
197550,28,100
197651,31,75
197954,31,90
198047,30,75
198249,27,55
198350,31,65
198451,26,45
198653,23,80
198855,26,50
199150,28,95
199251,32,-90
199352,25,90
199453,23,45
199554,32,100
199655,32,70
199958,31,70
200008,30,75
200109,32,90
200210,26,-5
200311,34,95
200513,25,-50
200614,32,-70
200816,29,100
200917,23,40
201111,29,60
201414,22,50
201515,26,-5
201717,22,95
201818,30,70
202113,23,80
202719,23,100
202820,36,60
203418,29,50
203721,33,60
203923,29,70
204016,25,100
204117,27,100
204218,29,70
204319,27,75
204420,28,100
204521,31,30
204622,30,-10
205119,31,-35
205220,30,75
205725,23,80
205826,31,-5
206222,30,35
206323,33,85
206525,28,80
206727,25,75
206828,22,80
206929,33,90
207123,30,80
207426,27,35
207628,31,-50
208024,34,100
208125,26,90
208226,24,50
208327,30,15
208428,32,-30
208630,33,100
208832,34,85
209127,32,80
209228,29,80
209329,32,75
209531,36,95
209834,28,75
209935,24,-65
210011,24,90
210112,25,5
210415,26,55
210617,32,100
211114,30,70
211215,29,75
211316,31,95
211417,36,95
211518,25,40
211619,27,55
211720,32,60
211821,28,90
211922,26,80
212015,25,45
212116,30,100
212217,23,95
212318,34,95
212419,29,90
212520,34,65
212823,23,60
212924,27,85
213017,25,45
213421,26,100
213522,26,75
214019,31,75
214221,25,100
214423,23,85
214524,24,-35
214625,34,100
214726,23,55
217126,24,40
217429,33,-90
218128,28,85
219231,27,100
220721,28,75
221218,29,100
221319,28,100
223929,31,55
224022,29,100
227432,32,85
227533,33,100
228434,24,80
230926,29,80
231928,30,65
233326,34,70
235128,28,90
236130,30,100
237334,23,75
238033,34,65
239136,30,100
239944,32,90
245333,31,65
246133,28,95
248238,33,80
248339,26,65
249947,32,-100
250427,35,100
250932,32,75
251833,32,80
255639,27,100
255740,27,70
256540,22,-20
257542,30,90
257845,26,75
257946,28,100
263032,24,80
263436,32,100
268749,29,-20
268850,24,90
270332,31,85
274542,29,55
275645,24,100
280739,32,90
280941,29,100
281135,26,100
283543,25,-55
284646,27,-25
285345,33,90
285446,32,90
286347,30,100
286650,30,100
287248,30,80
289555,32,90
290136,28,65
293748,34,70
295146,27,80
297655,31,80
298051,31,85
298455,24,-50
299154,24,90
299760,27,80
300618,22,65
300719,30,-40
303119,30,90
303624,32,65
304020,35,55
304727,33,45
305830,25,100
307127,34,90
308129,24,70
308331,29,100
309636,29,95
310621,33,85
311320,27,80
314225,24,70
316633,27,80
316835,28,75
317332,28,80
318637,27,70
320826,32,80
321323,31,100
322224,31,75
325129,31,-80
329440,30,80
329844,28,65
330324,27,85
333330,34,100
334635,24,80
336841,27,100
339847,29,100
341733,33,60
341834,26,-70
341935,27,70
342129,27,100
346137,29,100
346945,23,80
348545,25,35
349244,26,70
350330,24,65
351938,25,80
352132,28,65
352738,34,90
353740,22,75
354439,30,100
354944,25,50
355239,26,95
355542,29,100
355845,29,-85
356948,29,75
358144,30,80
360030,32,85
361234,35,100
361941,27,75
362034,32,20
365343,29,100
366042,26,100
366446,24,55
368551,27,90
368753,33,95
370740,27,-100
371843,31,100
373039,26,15
376247,29,100
377451,26,-20
378756,26,5
378857,33,80
379657,26,40
380036,28,70
381038,30,100
381543,24,80
382242,32,95
382545,34,70
384448,34,95
385046,28,95
385450,28,-65
386250,24,90
387959,26,80
389357,28,90
390645,30,70
391748,31,95
392447,33,80
392750,32,70
393247,33,55
393550,27,30
394956,29,80
395251,28,90
395756,35,85
395958,27,80
397154,29,80
397760,31,80
397861,32,60
398964,32,-10
401422,32,20
403628,28,95
406432,27,90
406836,31,100
412528,33,90
413934,33,95
414229,33,95
415837,23,70
419239,28,80
421226,34,75
422632,24,100
424939,28,75
429040,34,100
432332,33,100
433839,27,80
435136,32,60
436239,29,80
436845,26,95
441939,27,80
445543,30,75
446545,27,95
448347,26,-60
449753,25,-70
453441,33,95
453542,34,100
454140,33,-75
456346,22,80
457045,25,95
459453,29,100
461743,29,95
462139,29,-75
463040,31,75
465852,27,-95
467351,31,95
468050,32,100
469961,30,80
473952,32,80
475855,29,100
479762,24,70
480141,25,-85
481042,32,0
481143,34,65
481951,23,95
485757,34,75
486759,34,100
492754,29,100
495255,31,80
497764,22,70
497865,29,100
499566,28,75
500222,26,90
506234,27,75
510225,28,85
510326,29,95
512835,32,65
513130,27,100
513736,25,75
516742,31,100
517239,23,45
518746,25,90
519647,29,100
519950,33,90
520228,22,-85
521331,30,95
522434,27,-70
523032,32,-40
524135,23,95
525541,30,90
529549,26,25
529953,26,55
530635,30,80
531536,31,65
531940,22,65
536647,33,80
537952,29,80
540436,35,100
541640,26,90
541943,28,85
545345,31,90
547046,28,100
548250,23,85
549757,26,100
550035,27,95
550439,23,100
551138,26,100
552241,25,60
552544,35,100
553344,33,65
555348,35,100
555651,34,85
555954,29,60
557857,25,70
558657,22,85
558960,33,100
559053,35,60
559457,35,80
561242,24,65
561444,23,-55
561949,26,55
562345,32,75
562446,32,65
564046,31,50
565452,25,-45
566454,27,60
567052,33,45
567759,30,90
567961,22,90
568963,31,80
569864,27,90
569965,31,80
570243,27,-80
571043,27,80
571144,25,70
571548,29,40
572045,33,100
573249,30,80
573451,22,90
574958,35,95
576255,35,0
577762,33,-80
578057,27,100
578158,29,90
579665,34,100
579867,32,95
580044,30,85
580347,28,70
580650,33,80
580751,24,75
581349,33,100
581450,23,-30
583858,32,55
584355,33,40
585256,35,100
585862,27,80
586460,26,100
587664,26,100
588565,33,80
589567,25,100
590047,23,85
592455,35,80
594156,29,85
597869,32,70
598568,26,95
599065,24,65
599469,32,90
599671,27,75
601127,22,95
604537,23,10
609143,32,55
611231,34,100
611938,22,85
613235,28,100
613538,27,70
614439,27,70
615441,25,100
615744,30,100
616645,25,55
617748,30,85
618952,22,100
620333,30,100
620434,29,55
622236,23,65
623137,35,90
623844,26,50
626648,25,75
627549,33,80
627852,28,60
628248,26,60
630134,31,70
632037,24,100
632845,26,65
633847,25,80
634748,22,75
635245,30,-75
638049,32,65
644044,32,85
644246,35,85
645450,30,85
645551,25,90
646048,31,90
647858,27,70
650746,28,95
654350,30,45
654552,31,100
654754,34,90
656253,28,-55
656657,25,65
657659,23,75
660951,30,55
662551,27,70
663755,25,40
664757,26,95
665254,33,-60
667056,22,80
668361,31,60
671855,27,60
672756,33,100
673455,35,95
675661,31,80
677766,29,80
677968,35,80
679568,29,65
679770,26,90
680250,25,25
680452,35,100
680957,30,100
683256,30,100
685058,33,75
686969,25,60
687062,30,85
687163,22,75
688569,28,85
689369,32,-60
689470,36,65
690152,30,80
692964,25,100
693461,33,25
693764,31,70
694362,22,80
695768,27,10
696063,32,100
698168,25,100
700634,30,50
701535,33,90
702133,34,90
704238,26,50
705341,33,65
706040,23,60
707244,29,100
707749,32,70
709551,33,75
713239,30,-100
715041,32,-60
715647,33,55
715950,29,95
720337,23,-25
723141,31,80
724446,24,85
725751,29,50
727553,27,70
727654,25,100
728454,22,70
729254,25,35
729355,28,45
729557,24,70
731140,31,55
732243,32,90
733548,35,95
734045,23,85
734247,33,55
735148,22,100
737960,24,100
742549,27,75
743248,31,80
744553,31,80
745555,35,100
748056,33,100
748258,25,80
748662,33,85
749058,24,15
749361,29,50
751348,26,95
751550,29,85
753150,23,100
753251,29,100
756055,25,-80
757764,36,100
759869,34,85
760551,29,-50
761957,30,85
763557,27,80
765056,26,75
765864,29,85
766563,27,95
767464,30,90
769064,27,80
770352,29,100
771354,26,90
773257,28,75
774663,28,70
779370,27,80
782157,28,0
782561,32,80
783462,24,55
784565,26,70
786569,34,40
788674,35,100
788876,31,90
789373,28,85
792564,31,90
792766,32,-95
792867,37,-55
793465,25,80
800941,30,0
802844,25,100
803240,22,60
804646,32,100
809252,27,90
810439,29,75
810843,34,70
812746,22,80
814548,31,100
814649,29,70
815247,26,55
816653,23,70
816855,28,60
818455,32,80
818859,34,-75
820745,32,90
822244,27,100
822850,29,75
825048,34,10
825351,28,80
825553,28,-40
825654,31,100
826353,30,75
826454,26,100
827052,29,80
828862,29,85
832651,25,85
833148,27,95
833249,27,100
835657,32,90
837560,30,65
837863,30,-95
837964,35,90
841349,27,60
843151,29,50
844961,33,100
845458,31,100
849264,32,100
849971,25,55
852455,29,95
856463,33,90
856766,33,80
856968,31,35
857263,22,-100
859671,31,90
861456,32,90
865363,24,70
867468,23,80
869472,23,80
870861,31,80
871762,28,70
871964,30,60
872158,27,100
872562,31,55
872764,27,55
873968,23,95
876873,29,100
877168,35,90
877269,23,95
878574,27,90
878776,25,75
878877,28,95
880157,31,-10
882161,29,100
884064,35,65
884973,35,-70
885975,28,-80
886674,22,50
887373,35,80
888678,29,-40
889579,33,-60
891667,26,100
894067,34,-20
894673,28,100
894774,27,70
896778,32,100
896879,30,95
898176,33,-5
899885,26,-40
901038,30,100
901139,28,80
901442,29,80
902242,36,90
904044,35,100
905147,36,80
907656,32,55
908860,28,-65
910241,30,80
910443,28,65
911849,34,80
912447,27,75
912548,34,100
915554,22,60
917255,33,85
917558,35,100
919158,31,100
919966,33,-100
922854,29,90
923755,30,-70
926862,27,45
927359,25,100
929464,29,100
930449,22,100
932554,28,70
933253,30,80
937160,30,100
940553,25,80
942658,29,100
943862,27,95
946666,31,90
947668,30,80
951457,33,60
952863,23,75
953764,32,100
955465,27,70
957974,28,95
958976,29,85
959069,35,-70
959574,28,65
962058,26,75
965367,32,100
965771,32,70
966975,23,40
969476,32,70
970764,22,45
971160,27,80
972566,35,45
973770,25,40
978578,34,65
979984,34,85
983773,28,100
984472,28,100
987074,24,20
987983,27,70
989987,33,95
990366,22,95
991267,30,75
992673,33,70
992774,35,100
993675,29,85
994273,30,60
995174,25,100
996782,28,100